tag,signals_csv,meta_json,fault_type,severity,omega_step,load_profile,seed,noise_std
20260301_204447_w40_lp0_seed1_healthy_r1,data/runs/20260301_204447_w40_lp0_seed1_healthy_r1/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_healthy_r1/meta.json,healthy,0.0,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_healthy_r2,data/runs/20260301_204447_w40_lp0_seed1_healthy_r2/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_healthy_r2/meta.json,healthy,0.0,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_rs_drift_p02,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p02/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p02/meta.json,rs_drift,0.02,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_rs_drift_p05,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p05/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p05/meta.json,rs_drift,0.05,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_rs_drift_p08,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p08/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p08/meta.json,rs_drift,0.08,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_rs_drift_p10,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p10/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p10/meta.json,rs_drift,0.1,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_rs_drift_p15,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p15/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p15/meta.json,rs_drift,0.15,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_rs_drift_p20,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p20/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p20/meta.json,rs_drift,0.2,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_rs_drift_p30,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p30/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p30/meta.json,rs_drift,0.3,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_rs_drift_p40,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p40/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_rs_drift_p40/meta.json,rs_drift,0.4,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_ld_mismatch_m20,data/runs/20260301_204447_w40_lp0_seed1_ld_mismatch_m20/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_ld_mismatch_m20/meta.json,ld_mismatch,-0.2,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_ld_mismatch_m10,data/runs/20260301_204447_w40_lp0_seed1_ld_mismatch_m10/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_ld_mismatch_m10/meta.json,ld_mismatch,-0.1,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_ld_mismatch_m05,data/runs/20260301_204447_w40_lp0_seed1_ld_mismatch_m05/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_ld_mismatch_m05/meta.json,ld_mismatch,-0.05,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_ld_mismatch_p05,data/runs/20260301_204447_w40_lp0_seed1_ld_mismatch_p05/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_ld_mismatch_p05/meta.json,ld_mismatch,0.05,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_ld_mismatch_p10,data/runs/20260301_204447_w40_lp0_seed1_ld_mismatch_p10/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_ld_mismatch_p10/meta.json,ld_mismatch,0.1,40.0,0,1,0.01
20260301_204447_w40_lp0_seed1_ld_mismatch_p20,data/runs/20260301_204447_w40_lp0_seed1_ld_mismatch_p20/signals.csv,data/runs/20260301_204447_w40_lp0_seed1_ld_mismatch_p20/meta.json,ld_mismatch,0.2,40.0,0,1,0.01
20260301_204447_w40_lp0_seed2_healthy_r0,data/runs/20260301_204447_w40_lp0_seed2_healthy_r0/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_healthy_r0/meta.json,healthy,0.0,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_healthy_r1,data/runs/20260301_204447_w40_lp0_seed2_healthy_r1/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_healthy_r1/meta.json,healthy,0.0,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_healthy_r2,data/runs/20260301_204447_w40_lp0_seed2_healthy_r2/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_healthy_r2/meta.json,healthy,0.0,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_rs_drift_p02,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p02/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p02/meta.json,rs_drift,0.02,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_rs_drift_p05,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p05/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p05/meta.json,rs_drift,0.05,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_rs_drift_p08,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p08/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p08/meta.json,rs_drift,0.08,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_rs_drift_p10,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p10/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p10/meta.json,rs_drift,0.1,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_rs_drift_p15,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p15/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p15/meta.json,rs_drift,0.15,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_rs_drift_p20,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p20/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p20/meta.json,rs_drift,0.2,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_rs_drift_p30,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p30/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p30/meta.json,rs_drift,0.3,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_rs_drift_p40,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p40/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_rs_drift_p40/meta.json,rs_drift,0.4,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_ld_mismatch_m20,data/runs/20260301_204447_w40_lp0_seed2_ld_mismatch_m20/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_ld_mismatch_m20/meta.json,ld_mismatch,-0.2,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_ld_mismatch_m10,data/runs/20260301_204447_w40_lp0_seed2_ld_mismatch_m10/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_ld_mismatch_m10/meta.json,ld_mismatch,-0.1,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_ld_mismatch_m05,data/runs/20260301_204447_w40_lp0_seed2_ld_mismatch_m05/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_ld_mismatch_m05/meta.json,ld_mismatch,-0.05,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_ld_mismatch_p05,data/runs/20260301_204447_w40_lp0_seed2_ld_mismatch_p05/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_ld_mismatch_p05/meta.json,ld_mismatch,0.05,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_ld_mismatch_p10,data/runs/20260301_204447_w40_lp0_seed2_ld_mismatch_p10/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_ld_mismatch_p10/meta.json,ld_mismatch,0.1,40.0,0,2,0.01
20260301_204447_w40_lp0_seed2_ld_mismatch_p20,data/runs/20260301_204447_w40_lp0_seed2_ld_mismatch_p20/signals.csv,data/runs/20260301_204447_w40_lp0_seed2_ld_mismatch_p20/meta.json,ld_mismatch,0.2,40.0,0,2,0.01
20260301_204447_w40_lp1_seed0_healthy_r0,data/runs/20260301_204447_w40_lp1_seed0_healthy_r0/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_healthy_r0/meta.json,healthy,0.0,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_healthy_r1,data/runs/20260301_204447_w40_lp1_seed0_healthy_r1/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_healthy_r1/meta.json,healthy,0.0,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_healthy_r2,data/runs/20260301_204447_w40_lp1_seed0_healthy_r2/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_healthy_r2/meta.json,healthy,0.0,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_rs_drift_p02,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p02/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p02/meta.json,rs_drift,0.02,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_rs_drift_p05,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p05/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p05/meta.json,rs_drift,0.05,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_rs_drift_p08,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p08/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p08/meta.json,rs_drift,0.08,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_rs_drift_p10,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p10/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p10/meta.json,rs_drift,0.1,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_rs_drift_p15,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p15/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p15/meta.json,rs_drift,0.15,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_rs_drift_p20,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p20/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p20/meta.json,rs_drift,0.2,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_rs_drift_p30,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p30/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p30/meta.json,rs_drift,0.3,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_rs_drift_p40,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p40/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_rs_drift_p40/meta.json,rs_drift,0.4,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_ld_mismatch_m20,data/runs/20260301_204447_w40_lp1_seed0_ld_mismatch_m20/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_ld_mismatch_m20/meta.json,ld_mismatch,-0.2,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_ld_mismatch_m10,data/runs/20260301_204447_w40_lp1_seed0_ld_mismatch_m10/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_ld_mismatch_m10/meta.json,ld_mismatch,-0.1,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_ld_mismatch_m05,data/runs/20260301_204447_w40_lp1_seed0_ld_mismatch_m05/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_ld_mismatch_m05/meta.json,ld_mismatch,-0.05,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_ld_mismatch_p05,data/runs/20260301_204447_w40_lp1_seed0_ld_mismatch_p05/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_ld_mismatch_p05/meta.json,ld_mismatch,0.05,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_ld_mismatch_p10,data/runs/20260301_204447_w40_lp1_seed0_ld_mismatch_p10/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_ld_mismatch_p10/meta.json,ld_mismatch,0.1,40.0,1,0,0.01
20260301_204447_w40_lp1_seed0_ld_mismatch_p20,data/runs/20260301_204447_w40_lp1_seed0_ld_mismatch_p20/signals.csv,data/runs/20260301_204447_w40_lp1_seed0_ld_mismatch_p20/meta.json,ld_mismatch,0.2,40.0,1,0,0.01
20260301_204447_w40_lp1_seed1_healthy_r0,data/runs/20260301_204447_w40_lp1_seed1_healthy_r0/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_healthy_r0/meta.json,healthy,0.0,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_healthy_r1,data/runs/20260301_204447_w40_lp1_seed1_healthy_r1/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_healthy_r1/meta.json,healthy,0.0,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_healthy_r2,data/runs/20260301_204447_w40_lp1_seed1_healthy_r2/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_healthy_r2/meta.json,healthy,0.0,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_rs_drift_p02,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p02/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p02/meta.json,rs_drift,0.02,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_rs_drift_p05,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p05/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p05/meta.json,rs_drift,0.05,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_rs_drift_p08,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p08/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p08/meta.json,rs_drift,0.08,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_rs_drift_p10,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p10/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p10/meta.json,rs_drift,0.1,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_rs_drift_p15,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p15/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p15/meta.json,rs_drift,0.15,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_rs_drift_p20,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p20/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p20/meta.json,rs_drift,0.2,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_rs_drift_p30,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p30/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p30/meta.json,rs_drift,0.3,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_rs_drift_p40,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p40/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_rs_drift_p40/meta.json,rs_drift,0.4,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_ld_mismatch_m20,data/runs/20260301_204447_w40_lp1_seed1_ld_mismatch_m20/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_ld_mismatch_m20/meta.json,ld_mismatch,-0.2,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_ld_mismatch_m10,data/runs/20260301_204447_w40_lp1_seed1_ld_mismatch_m10/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_ld_mismatch_m10/meta.json,ld_mismatch,-0.1,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_ld_mismatch_m05,data/runs/20260301_204447_w40_lp1_seed1_ld_mismatch_m05/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_ld_mismatch_m05/meta.json,ld_mismatch,-0.05,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_ld_mismatch_p05,data/runs/20260301_204447_w40_lp1_seed1_ld_mismatch_p05/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_ld_mismatch_p05/meta.json,ld_mismatch,0.05,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_ld_mismatch_p10,data/runs/20260301_204447_w40_lp1_seed1_ld_mismatch_p10/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_ld_mismatch_p10/meta.json,ld_mismatch,0.1,40.0,1,1,0.01
20260301_204447_w40_lp1_seed1_ld_mismatch_p20,data/runs/20260301_204447_w40_lp1_seed1_ld_mismatch_p20/signals.csv,data/runs/20260301_204447_w40_lp1_seed1_ld_mismatch_p20/meta.json,ld_mismatch,0.2,40.0,1,1,0.01
20260301_204447_w40_lp1_seed2_healthy_r0,data/runs/20260301_204447_w40_lp1_seed2_healthy_r0/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_healthy_r0/meta.json,healthy,0.0,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_healthy_r1,data/runs/20260301_204447_w40_lp1_seed2_healthy_r1/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_healthy_r1/meta.json,healthy,0.0,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_healthy_r2,data/runs/20260301_204447_w40_lp1_seed2_healthy_r2/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_healthy_r2/meta.json,healthy,0.0,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_rs_drift_p02,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p02/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p02/meta.json,rs_drift,0.02,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_rs_drift_p05,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p05/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p05/meta.json,rs_drift,0.05,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_rs_drift_p08,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p08/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p08/meta.json,rs_drift,0.08,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_rs_drift_p10,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p10/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p10/meta.json,rs_drift,0.1,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_rs_drift_p15,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p15/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p15/meta.json,rs_drift,0.15,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_rs_drift_p20,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p20/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p20/meta.json,rs_drift,0.2,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_rs_drift_p30,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p30/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p30/meta.json,rs_drift,0.3,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_rs_drift_p40,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p40/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_rs_drift_p40/meta.json,rs_drift,0.4,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_ld_mismatch_m20,data/runs/20260301_204447_w40_lp1_seed2_ld_mismatch_m20/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_ld_mismatch_m20/meta.json,ld_mismatch,-0.2,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_ld_mismatch_m10,data/runs/20260301_204447_w40_lp1_seed2_ld_mismatch_m10/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_ld_mismatch_m10/meta.json,ld_mismatch,-0.1,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_ld_mismatch_m05,data/runs/20260301_204447_w40_lp1_seed2_ld_mismatch_m05/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_ld_mismatch_m05/meta.json,ld_mismatch,-0.05,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_ld_mismatch_p05,data/runs/20260301_204447_w40_lp1_seed2_ld_mismatch_p05/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_ld_mismatch_p05/meta.json,ld_mismatch,0.05,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_ld_mismatch_p10,data/runs/20260301_204447_w40_lp1_seed2_ld_mismatch_p10/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_ld_mismatch_p10/meta.json,ld_mismatch,0.1,40.0,1,2,0.01
20260301_204447_w40_lp1_seed2_ld_mismatch_p20,data/runs/20260301_204447_w40_lp1_seed2_ld_mismatch_p20/signals.csv,data/runs/20260301_204447_w40_lp1_seed2_ld_mismatch_p20/meta.json,ld_mismatch,0.2,40.0,1,2,0.01
20260301_204447_w40_lp2_seed0_healthy_r0,data/runs/20260301_204447_w40_lp2_seed0_healthy_r0/signals.csv,data/runs/20260301_204447_w40_lp2_seed0_healthy_r0/meta.json,healthy,0.0,40.0,2,0,0.01
20260301_204447_w40_lp2_seed0_healthy_r1,data/runs/20260301_204447_w40_lp2_seed0_healthy_r1/signals.csv,data/runs/20260301_204447_w40_lp2_seed0_healthy_r1/meta.json,healthy,0.0,40.0,2,0,0.01
20260301_204447_w40_lp2_seed0_healthy_r2,data/runs/20260301_204447_w40_lp2_seed0_healthy_r2/signals.csv,data/runs/20260301_204447_w40_lp2_seed0_healthy_r2/meta.json,healthy,0.0,40.0,2,0,0.01
20260301_204447_w40_lp2_seed0_rs_drift_p02,data/runs/20260301_204447_w40_lp2_seed0_rs_drift_p02/signals.csv,data/runs/20260301_204447_w40_lp2_seed0_rs_drift_p02/meta.json,rs_drift,0.02,40.0,2,0,0.01
20260301_204447_w40_lp2_seed0_rs_drift_p05,data/runs/20260301_204447_w40_lp2_seed0_rs_drift_p05/signals.csv,data/runs/20260301_204447_w40_lp2_seed0_rs_drift_p05/meta.json,rs_drift,0.05,40.0,2,0,0.01
20260301_204447_w40_lp2_seed0_rs_drift_p08,data/runs/20260301_204447_w40_lp2_seed0_rs_drift_p08/signals.csv,data/runs/20260301_204447_w40_lp2_seed0_rs_drift_p08/meta.json,rs_drift,0.08,40.0,2,0,0.01
20260301_204447_w40_lp2_seed0_rs_drift_p10,data/runs/20260301_204447_w40_lp2_seed0_rs_drift_p10/signals.csv,data/runs/20260301_204447_w40_lp2_seed0_rs_drift_p10/meta.json,rs_drift,0.1,40.0,2,0,0.01
20260301_204447_w40_lp2_seed0_rs_drift_p15,data/runs/20260301_204447_w40_lp2_seed0_rs_drift_p15/signals.csv,data/runs/20260301_204447_w40_lp2_seed0_rs_drift_p15/meta.json,rs_drift,0.15,40.0,2,0,0.01
20260301_204447_w40_lp2_seed0_rs_drift_p20,data/runs/20260301_204447_w40_lp2_seed0_rs_drift_p20/signals.csv,data/runs/20260301_204447_w40_lp2_seed0_rs_drift_p20/meta.json,rs_drift,0.2,40.0,2,0,0.01
